chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,rms_mean,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
0.6779854,0.7120887,0.70761305,0.7072878,0.741385,0.7491052,0.769826,0.7648994,0.7221362,0.70778006,0.6556741,0.6525381,0.045265654765078905,1569.5893118060126,1800.5511555106004,3720.7386363636365,0.06916281960227273,-454.74655,130.15027,28.362118,1.5152684,13.597488,29.93598,5.65625,10.090388,-4.3098106,4.1576095,7.719148,-0.43504003,-9.949767,-2.7047286,-1.8038391,-3.38707,-8.777495,-8.969974,-7.292911,-5.6943336,0
0.56764656,0.5516206,0.50429034,0.46555448,0.43084648,0.5092032,0.61124694,0.5602697,0.53853446,0.546808,0.54853165,0.5486289,0.039980876537895414,1803.3921922749767,1574.6639150243564,3503.3318014705883,0.12314381318933823,-449.8259,149.55042,-30.50206,-4.217074,25.75083,-18.922232,-5.7982273,0.7303804,-7.3756533,-6.9143815,-14.541948,-12.866383,-17.842228,-13.341682,-16.861404,-11.151107,-12.591733,-10.008077,-15.649294,-14.535411,0
0.50032794,0.48161533,0.49785218,0.52653825,0.5064843,0.56378245,0.65402645,0.68008894,0.69431174,0.67800456,0.67051935,0.5606682,0.037676011489653286,2231.88580991648,1730.009596003822,4051.906779661017,0.192676608845339,-432.61353,101.43801,-7.676174,15.569005,17.474878,-1.0926733,-15.80668,-7.3950644,-8.6754055,-5.7982163,-3.8016026,-11.337676,-14.954807,-17.761665,-12.920596,-7.000546,-9.13563,-10.111164,-14.703011,-13.106414,0
0.559097,0.54862916,0.5776333,0.5501414,0.4994187,0.5373894,0.54379976,0.56391704,0.65018666,0.60531145,0.6488395,0.6188452,0.05425460719490568,2045.7578215522412,1702.8315133088247,3787.5359195402298,0.16428138469827586,-343.31757,110.38734,13.958308,21.264887,-0.84044534,5.7763996,-20.752687,-2.755348,-8.101095,4.4649854,-0.54175436,-8.669044,-22.35771,-16.460129,-21.689112,-14.9811125,-12.646312,-18.000874,-18.049526,-16.620678,0
0.5152153,0.54989547,0.54721195,0.5030161,0.49490103,0.6003835,0.81325424,0.78487766,0.6057015,0.5748839,0.5999443,0.5462634,0.05261533446568335,1949.4560856253258,1859.7499730438678,3949.21875,0.1066162109375,-404.8814,76.93446,19.514086,7.3501716,11.96953,25.86359,-2.7852225,-6.863838,-2.797983,-1.8756558,-5.596919,-3.5582142,-3.0337791,-5.7918267,-13.431604,-16.170704,-0.22540632,-9.139921,-8.512457,-9.819797,0
0.65349764,0.6355637,0.6237377,0.64401615,0.62927943,0.59201586,0.62338567,0.65433323,0.6883259,0.6826448,0.67462784,0.67970246,0.04804394023584175,1752.6502321114979,1762.4444312705682,3662.3475609756097,0.11323063548018293,-512.29974,112.46947,15.035788,-1.1971041,26.02027,3.063204,-12.291432,7.346818,-10.998655,-3.073665,4.173948,-3.2822042,-17.115488,-8.8084955,-16.812584,-6.895375,-7.8255525,-7.5202756,-11.941109,-11.714757,0
0.64122355,0.61550903,0.58872986,0.6570573,0.669528,0.64893794,0.64073515,0.68615365,0.74395716,0.7453743,0.6535082,0.634623,0.05520623274143665,2188.9828563586984,1845.795646364356,4286.487926136364,0.17430530894886365,-341.5748,90.60911,-18.45616,19.787361,16.06462,6.4124923,5.202599,13.500769,-0.71673536,-3.6221979,-1.764906,-4.290658,-9.053718,-19.440641,-11.658062,-3.3190691,-8.318719,-15.352969,-14.623459,-13.214786,0
0.66950965,0.6467356,0.6710866,0.67396784,0.6488734,0.6338009,0.64131063,0.6671901,0.7132407,0.7051722,0.69785273,0.741442,0.03360787831247511,1982.1537162080356,1820.6620856583488,3947.3684210526317,0.14384594298245615,-493.77847,79.226616,21.526415,17.96729,1.8008236,21.534586,-4.874762,-8.410311,-3.0786664,8.765798,-4.7211566,-9.120308,-3.3528602,-12.18122,-3.284229,-9.912011,-6.120964,-6.6322274,-6.6575847,-11.174234,0
0.5940679,0.55781096,0.62417096,0.6525565,0.64042735,0.6482842,0.6563958,0.74164224,0.75968343,0.76508033,0.77638173,0.71223617,0.029825801719030418,2328.4537924805536,2027.3892382426125,4724.402947154472,0.17661490091463414,-501.07684,59.1157,23.637167,25.068096,15.433853,9.068525,-11.898508,-0.6845005,-5.2764,5.3143964,-6.517985,-6.3913155,2.8339603,-8.09131,-11.833034,-6.5802608,-13.013833,-11.174537,-10.527035,-10.211833,0
0.5367791,0.5558377,0.5308643,0.5424951,0.56865495,0.6365879,0.6502452,0.7226733,0.7739146,0.70574355,0.6326988,0.6110355,0.04886600162521265,2226.4768576429688,1834.1008441964686,4263.548259493671,0.1784575257120253,-360.76404,101.55502,-12.330886,0.95149887,7.3623285,15.406386,-10.718255,11.814015,-0.27987847,-5.5008903,-1.6167829,0.3138962,-13.762839,-17.70282,-18.438938,-16.136635,-11.817824,-10.582301,-11.917234,-17.522287,0
0.75638616,0.71136296,0.69327533,0.6715977,0.646099,0.65407413,0.6781622,0.7195396,0.69978124,0.68598956,0.7033383,0.7407872,0.022773811217455524,1569.5053951035934,1758.3966878814442,3437.721631205674,0.09151637300531915,-636.661,118.33961,21.154202,7.0392184,21.563673,8.133201,-7.981317,4.1450543,-8.420121,-3.195694,3.7519965,-2.9363585,-8.238127,-6.7867994,-12.324026,-0.31189683,-5.1900525,-6.9794006,-12.049263,-9.714525,0
0.794933,0.74950397,0.70197153,0.6603767,0.6537546,0.63748723,0.67096686,0.68540674,0.710024,0.7364482,0.7467704,0.78656775,0.0253187368178339,1778.572568798976,1699.7664035289777,3554.1111680327867,0.11095991290983606,-561.4705,126.92679,2.239026,11.327669,19.172829,8.229825,-14.697178,3.5607278,-11.213243,-6.525422,-0.9512191,-7.229934,-3.0119069,-10.637533,-10.201712,-6.028435,-5.1780415,-9.773891,-11.933588,-11.850782,0
0.63456064,0.65363145,0.7000563,0.69449544,0.71080065,0.75256497,0.76308286,0.72134405,0.7021688,0.65648013,0.62514657,0.62061375,0.035969322061673775,1813.9258192246532,1823.2339223126423,3702.6721014492755,0.11514945652173914,-446.64905,96.834526,22.709576,26.688196,1.3004179,18.022871,-0.71736556,4.811393,-7.058702,-0.7966148,-1.6926242,-0.22213726,1.1838956,-5.527312,-7.8005214,-11.115034,-12.274475,-11.950174,-11.486795,-9.264411,0
0.5981385,0.5529217,0.50447893,0.49487424,0.494592,0.5390983,0.60990876,0.6741622,0.6718179,0.64150757,0.6999978,0.6660174,0.031001376157200798,2419.059856039142,1773.9632921268958,4370.356721698113,0.21073481721698112,-422.83823,101.93087,-20.531664,4.177732,17.816507,1.8224292,-5.421495,2.3100688,-4.586016,-5.2241015,-10.400286,-13.273191,-18.211317,-15.887147,-15.855297,-2.6770906,-8.798068,-8.70382,-13.090355,-14.832614,0
0.6206514,0.55575496,0.5809205,0.6039055,0.5272094,0.5434027,0.60340464,0.6338621,0.6508007,0.6246451,0.6853977,0.6580166,0.04760104692889537,1990.5819370502868,1774.727600446784,3865.0841346153848,0.11497145432692307,-385.7968,114.21965,-5.807651,5.86223,5.857684,-0.12229227,-16.029222,1.2486367,-3.755424,0.9619177,-7.986303,-14.245449,-1.7033142,-8.646456,-17.819061,-11.540451,-16.32117,-17.85789,-10.798408,-9.399965,0
